"","x"
"1649",5837
"1650",5839
"1651",5841
"1652",5842
"1653",5843
"1654",5845
"1655",5846
"1656",5847
"1657",5850
"1658",5851
"1659",5853
"1660",5855
"1661",5857
"1662",5858
"1663",5859
"1664",5860
"1665",5862
"1666",5866
"1667",5867
"1668",5868
"1669",5871
"1670",5872
"1671",5873
"1672",5874
"1673",5875
"1674",5901
"1675",5902
"1676",5903
"1677",5904
"1678",5905
"1679",5906
"1680",5907
"1681",6001
"1682",6002
"1683",6010
"1684",6013
"1685",6016
"1686",6018
"1687",6019
"1688",6020
"1689",6021
"1690",6022
"1691",6023
"1692",6024
"1693",6026
"1694",6027
"1695",6029
"1696",6031
"1697",6032
"1698",6033
"1699",6035
"1700",6037
"1701",6039
"1702",6040
"1703",6042
"1704",6043
"1705",6051
"1706",6052
"1707",6053
"1708",6057
"1709",6058
"1710",6059
"1711",6060
"1712",6061
"1713",6062
"1714",6063
"1715",6065
"1716",6066
"1717",6067
"1718",6068
"1719",6069
"1720",6070
"1721",6071
"1722",6073
"1723",6074
"1724",6076
"1725",6078
"1726",6081
"1727",6082
"1728",6084
"1729",6085
"1730",6088
"1731",6089
"1732",6090
"1733",6091
"1734",6092
"1735",6093
"1736",6095
"1737",6096
"1738",6098
"1739",6103
"1740",6105
"1741",6106
"1742",6107
"1743",6108
"1744",6109
"1745",6110
"1746",6111
"1747",6112
"1748",6114
"1749",6117
"1750",6118
"1751",6119
"1752",6120
"1753",6160
"1754",6226
"1755",6231
"1756",6232
"1757",6234
"1758",6235
"1759",6237
"1760",6238
"1761",6239
"1762",6241
"1763",6242
"1764",6243
"1765",6247
"1766",6248
"1767",6249
"1768",6250
"1769",6254
"1770",6255
"1771",6256
"1772",6259
"1773",6260
"1774",6262
"1775",6263
"1776",6264
"1777",6266
"1778",6268
"1779",6269
"1780",6277
"1781",6278
"1782",6279
"1783",6280
"1784",6281
"1785",6282
"1786",6320
"1787",6330
"1788",6331
"1789",6332
"1790",6333
"1791",6334
"1792",6335
"1793",6336
"1794",6339
"1795",6340
"1796",6350
"1797",6351
"1798",6353
"1799",6354
"1800",6355
"1801",6357
"1802",6359
"1803",6360
"1804",6365
"1805",6370
"1806",6371
"1807",6373
"1808",6374
"1809",6375
"1810",6376
"1811",6377
"1812",6378
"1813",6379
"1814",6380
"1815",6382
"1816",6384
"1817",6385
"1818",6387
"1819",6389
"1820",6390
"1821",6401
"1822",6403
"1823",6405
"1824",6409
"1825",6410
"1826",6412
"1827",6413
"1828",6414
"1829",6415
"1830",6416
"1831",6417
"1832",6418
"1833",6419
"1834",6420
"1835",6422
"1836",6423
"1837",6424
"1838",6426
"1839",6437
"1840",6438
"1841",6441
"1842",6442
"1843",6443
"1844",6444
"1845",6447
"1846",6450
"1847",6451
"1848",6455
"1849",6456
"1850",6457
"1851",6460
"1852",6461
"1853",6467
"1854",6468
"1855",6469
"1856",6470
"1857",6471
"1858",6472
"1859",6473
"1860",6475
"1861",6477
"1862",6478
"1863",6479
"1864",6480
"1865",6481
"1866",6482
"1867",6483
"1868",6484
"1869",6488
"1870",6489
"1871",6492
"1872",6498
"1873",6510
"1874",6511
"1875",6512
"1876",6513
"1877",6514
"1878",6515
"1879",6516
"1880",6517
"1881",6518
"1882",6519
"1883",6524
"1884",6525
"1885",6604
"1886",6605
"1887",6606
"1888",6607
"1889",6608
"1890",6610
"1891",6611
"1892",6612
"1893",6614
"1894",6615
"1895",6702
"1896",6704
"1897",6705
"1898",6706
"1899",6708
"1900",6710
"1901",6712
"1902",6716
"1903",6750
"1904",6751
"1905",6752
"1906",6754
"1907",6755
"1908",6756
"1909",6757
"1910",6758
"1911",6759
"1912",6762
"1913",6763
"1914",6770
"1915",6776
"1916",6777
"1917",6778
"1918",6779
"1919",6782
"1920",6783
"1921",6784
"1922",6785
"1923",6786
"1924",6787
"1925",6790
"1926",6791
"1927",6793
"1928",6794
"1929",6795
"1930",6796
"1931",6798
"1932",6801
"1933",6804
"1934",6807
"1935",6810
"1936",6811
"1937",6812
"1938",6820
"1939",6824
"1940",6825
"1941",6830
"1942",6831
"1943",6840
"1944",6850
"1945",6851
"1946",6853
"1947",6854
"1948",6855
"1949",6856
"1950",6870
"1951",6877
"1952",6878
"1953",6880
"1954",6883
"1955",6890
"1956",6896
"1957",6897
"1958",6901
"1959",6902
"1960",6903
"1961",6905
"1962",6906
"1963",6907
"1964",7001
"1965",7002
"1966",7003
"1967",7004
"1968",7005
"1969",7006
"1970",7008
"1971",7009
"1972",7010
"1973",7011
"1974",7012
"1975",7013
"1976",7014
"1977",7016
"1978",7017
"1979",7018
"1980",7020
"1981",7021
"1982",7022
"1983",7023
"1984",7024
"1985",7026
"1986",7027
"1987",7028
"1988",7029
"1989",7030
"1990",7031
"1991",7032
"1992",7033
"1993",7034
"1994",7035
"1995",7036
"1996",7039
"1997",7040
"1998",7041
"1999",7042
"2000",7043
"2001",7044
"2002",7045
"2003",7046
"2004",7047
"2005",7050
"2006",7052
"2007",7054
"2008",7055
"2009",7057
"2010",7058
"2011",7059
"2012",7060
"2013",7062
"2014",7063
"2015",7064
"2016",7065
"2017",7066
"2018",7067
"2019",7068
"2020",7069
"2021",7070
"2022",7071
"2023",7072
"2024",7073
"2025",7074
"2026",7075
"2027",7076
"2028",7077
"2029",7078
"2030",7079
"2031",7080
"2032",7081
"2033",7082
"2034",7083
"2035",7086
"2036",7087
"2037",7088
"2038",7090
"2039",7092
"2040",7093
"2041",7094
"2042",7095
"2043",7102
"2044",7103
"2045",7104
"2046",7105
"2047",7106
"2048",7107
"2049",7108
"2050",7109
"2051",7110
"2052",7111
"2053",7112
"2054",7114
"2055",7201
"2056",7202
"2057",7203
"2058",7204
"2059",7205
"2060",7206
"2061",7208
"2062",7302
"2063",7304
"2064",7305
"2065",7306
"2066",7307
"2067",7310
"2068",7311
"2069",7401
"2070",7403
"2071",7405
"2072",7407
"2073",7410
"2074",7416
"2075",7417
"2076",7418
"2077",7419
"2078",7420
"2079",7421
"2080",7422
"2081",7423
"2082",7424
"2083",7430
"2084",7432
"2085",7435
"2086",7436
"2087",7438
"2088",7439
"2089",7440
"2090",7442
"2091",7444
"2092",7446
"2093",7450
"2094",7452
"2095",7456
"2096",7457
"2097",7458
"2098",7460
"2099",7461
"2100",7462
"2101",7463
"2102",7465
"2103",7470
"2104",7480
"2105",7481
"2106",7495
"2107",7501
"2108",7502
"2109",7503
"2110",7504
"2111",7505
"2112",7506
"2113",7508
"2114",7512
"2115",7513
"2116",7514
"2117",7522
"2118",7524
"2119",7601
"2120",7603
"2121",7604
"2122",7605
"2123",7606
"2124",7607
"2125",7608
"2126",7620
"2127",7621
"2128",7624
"2129",7626
"2130",7627
"2131",7628
"2132",7630
"2133",7631
"2134",7632
"2135",7640
"2136",7641
"2137",7642
"2138",7643
"2139",7644
"2140",7645
"2141",7646
"2142",7647
"2143",7648
"2144",7649
"2145",7650
"2146",7652
"2147",7656
"2148",7657
"2149",7660
"2150",7661
"2151",7662
"2152",7663
"2153",7666
"2154",7670
"2155",7675
"2156",7676
"2157",7677
"2158",7701
"2159",7702
