"","Id2","TotalTotalPopulation","MaleTotalPopulation","FemaleTotalPopulation","M_5To14Years","F_5To14Years","M_15To17Years","F_15To17Years","M_18To24Years","F_18To24Years","M_15To44Years","F_15To44Years","M_18YearsAndOver","F_18YearsAndOver","M_MedianAge","F_MedianAge","M_Percent","F_Percent"
"3972",14005,2118,1035,1083,16.2,16.9,4.5,3.6,12.9,6.1,40.5,32.5,76,72.7,38.1,41.9,49,52
"3973",14006,9282,4449,4833,8.9,13.7,3.3,3.6,9,7.7,36.2,34.6,80.3,78.4,42.2,43.3,48,53
"3974",14008,1545,735,810,13.3,7.8,11,4,4.2,17.7,33.2,44.3,75.6,81,45.8,39.6,48,53
"3975",14009,5549,2800,2749,15,12.4,3,4.3,5.5,6.3,33.9,33.2,75.5,80.8,41.5,47.1,51,50
"3976",14011,9952,6718,3234,6.6,11,2.1,4.6,8.7,10.4,54.7,41.1,89.9,79.2,37.6,42.2,68,33
"3977",14012,2400,1101,1299,11,15.9,7.6,5.3,4.7,6.2,33.8,30.9,76,71.2,44.9,41.5,46,55
"3978",14013,1664,826,838,12,8,5.2,6,6.4,6,31.8,32,80.6,81.5,47.2,48.5,50,51
"3979",14020,23208,11364,11844,10.6,10.5,4,2.2,9.8,9.8,39.3,35.5,78.3,81.5,39.1,43.5,49,52
"3980",14024,1752,874,878,11.6,14.5,3.3,7.1,8.7,4,37.4,35.6,78.8,66.2,41.5,36.3,50,51
"3981",14025,3390,2001,1389,17.8,8.5,6.7,1.9,6.6,5.3,35.2,36.1,66.8,83.8,36.3,44.9,60,41
"3982",14026,778,407,371,15.7,6.2,0,4.3,0,4.3,40,50.1,77.9,81.4,42.1,40.6,53,48
"3983",14028,1322,661,661,8.2,13.8,2,4.7,11.5,4.2,32.4,36.8,85,79.9,47.4,42.3,50,50
"3984",14030,1661,855,806,9.8,6,3.6,1.1,12.5,23.7,37.1,40,84.4,88.6,46.8,44.9,52,49
"3985",14031,9911,4768,5143,11.8,16.7,4.9,2.6,8.9,6.8,33.5,26.7,79.9,78,46.4,47.6,49,52
"3986",14032,7623,3798,3825,17.7,20.6,5.7,4.7,7.5,6.4,34.5,31.2,70.1,72,40,43.1,50,51
"3987",14033,2170,942,1228,15.9,24.2,7.4,2.5,4.5,1.7,31.1,27.2,71.4,68.9,44.4,44.3,44,57
"3988",14034,2978,2088,890,4.6,8.2,2.8,4.7,11,2.4,50.4,33.8,91.3,79.2,42.4,45.1,71,30
"3989",14035,215,150,65,50.7,0,0,0,0,0,26,69.2,44,100,12.8,29.9,70,31
"3990",14036,5256,2629,2627,10.8,11.7,5.2,7.8,10,6.7,38.5,38.9,80.3,77,43.6,43.6,51,50
"3991",14037,928,460,468,4.3,13.7,6.5,1.3,1.3,0,32.2,19,85.2,71.8,49.5,47.2,50,51
"3992",14039,87,46,41,8.7,9.8,0,0,0,9.8,50,73.2,91.3,90.2,39.6,35.5,53,48
"3993",14040,2259,1138,1121,13.4,12.9,3.3,5.6,14.7,10.7,36.1,34,82.2,74.8,44.5,41.1,51,50
"3994",14041,315,154,161,16.9,11.2,6.5,6.8,24,23,41.6,34.8,70.8,82,24.5,46.7,49,52
