"","Id2","TotalTotalPopulation","MaleTotalPopulation","FemaleTotalPopulation","M_5To14Years","F_5To14Years","M_15To17Years","F_15To17Years","M_18To24Years","F_18To24Years","M_15To44Years","F_15To44Years","M_18YearsAndOver","F_18YearsAndOver","M_MedianAge","F_MedianAge","M_Percent","F_Percent"
"3864",13672,744,352,392,9.1,8.7,0,9.7,4,10.7,27.6,46.4,80.4,79.6,50.6,35.9,48,53
"3865",13673,2229,1011,1218,12.7,15.2,4.6,6.7,11.5,9.4,46.8,45.6,73.2,68.6,32.1,31.2,46,55
"3866",13674,151,54,97,0,0,0,0,0,0,63,32,100,71.1,27.8,27.7,36,65
"3867",13675,33,8,25,0,0,0,0,0,0,0,40,100,100,NA,46.4,25,76
"3868",13676,16444,8445,7999,8.4,7.7,4.5,3,41.9,38.9,63.4,59,83.3,85.7,21.9,23.4,52,49
"3869",13677,153,81,72,0,48.6,0,0,0,0,48.1,51.4,48.1,51.4,NA,NA,53,48
"3870",13678,153,74,79,41.9,36.7,0,0,0,0,44.6,39.2,58.1,63.3,31.2,36.3,49,52
"3871",13679,1872,977,895,10.2,23.7,4.8,2.8,10.8,7,38.1,34.3,75.9,67.8,39.6,33.9,53,48
"3872",13680,1236,581,655,16.5,22.7,5.2,2,6.2,4.7,40.6,34.8,72.5,67.2,41.2,34.2,48,53
"3873",13681,791,395,396,8.9,5.8,3.5,4.3,10.4,12.4,42.8,35.6,73.9,74.5,33.4,38.3,50,51
"3874",13682,737,358,379,10.1,11.1,5.6,10,5.3,4,32.4,33.2,84.4,73.4,47.3,45.1,49,52
"3875",13684,1098,580,518,10.7,7.5,5.9,3.3,13.4,7.1,40.5,39.2,80.3,85.7,40.4,44.5,53,48
"3876",13685,2163,1095,1068,13.1,8.9,5.7,4.9,7.9,9.7,42.8,47.7,75.9,81.8,32.5,36,51,50
"3877",13687,525,234,291,5.6,5.8,2.1,1.4,3,6.9,24.8,30.6,92.3,92.8,55.1,51.8,45,56
"3878",13690,892,390,502,5.9,9.2,2.8,2.6,27.9,27.3,44.4,46,87.4,82.3,41.4,30.7,44,57
"3879",13691,3051,1596,1455,7.8,12.3,6,8,8.3,6.7,44.4,41.2,79.1,73.7,38.9,37.8,53,48
"3880",13692,45,14,31,0,0,0,0,0,0,0,0,100,100,NA,NA,32,69
"3881",13693,547,289,258,16.3,2.3,9.7,0,0,10.1,32.5,35.7,69.6,93,43.7,56.1,53,48
"3882",13694,1372,659,713,10.3,14.3,6.4,2,7.9,3.8,38.2,28.3,81.2,77.8,44.7,47.3,49,52
"3883",13695,58,42,16,9.5,0,0,0,21.4,18.8,21.4,18.8,81,100,53.5,57.3,73,28
"3884",13696,47,0,47,NA,0,NA,0,NA,0,NA,0,NA,100,NA,NA,0,100
"3885",13697,2106,1037,1069,12.8,8.7,1,9.6,14.3,10,39.6,39.9,83.2,76.3,42.2,41.2,50,51
"3886",13730,3073,1530,1543,11.2,6.2,3.4,5.6,9.6,10.3,34.3,37.1,77.3,76.8,39.8,41.4,50,51
"3887",13731,1012,515,497,12,9.9,2.9,5,3.7,3.6,22.9,26,83.9,83.1,52.1,55.8,51,50
"3888",13732,8190,3991,4199,11.3,16.3,4.8,2.2,8.6,5.1,37,28.4,76.1,75.4,39.6,44.1,49,52
"3889",13733,5348,2771,2577,11.4,10.9,8.3,2.8,7.8,6.8,36.8,32.4,76.7,81.6,44.2,47.2,52,49
"3890",13734,2425,1138,1287,12.7,14.9,4.7,8,10.4,9.2,33,35.2,80.1,71.4,46.5,41.4,47,54
"3891",13736,2527,1304,1223,15.8,15.6,3.3,7.3,9.4,9.2,38.9,41.5,77,71.7,38.9,36.4,52,49
"3892",13739,898,460,438,10.7,9.8,2.2,1.6,10.2,5.5,32.4,32,81.7,84.9,45.6,46.1,52,49
"3893",13740,472,241,231,2.1,12.6,3.3,1.3,8.7,5.2,26.1,33.8,81.3,79.7,47.8,40.7,52,49
"3894",13743,3846,1717,2129,16.1,14.9,5.7,1.9,7.4,2.2,32.1,29.3,74.4,75.5,42.5,43.3,45,56
"3895",13744,1332,743,589,9.4,8.8,3.5,4.8,12.4,3.6,36.1,28.4,83,77.8,47.1,47.2,56,45
"3896",13746,2263,1142,1121,14.2,8.7,3.4,5.2,10.2,6.3,33.5,33.6,77.8,79.8,43.2,45.4,51,50
"3897",13748,4021,1759,2262,14.4,11.9,3.3,4.7,6.9,4.2,29,35,76.1,74.4,45.1,38.3,44,57
"3898",13750,946,469,477,17.7,13.6,7.7,5,5.1,3.6,40.7,38.8,69.5,78.4,35.3,44.2,50,51
"3899",13751,144,92,52,6.5,0,9.8,0,3.3,40.4,22.8,51.9,83.7,100,46.8,43.8,64,37
"3900",13752,788,430,358,7.4,7.3,3.7,4.7,9.5,5.9,27.9,25.7,85.6,84.6,53.8,52.6,55,46
"3901",13753,5737,3022,2715,5.8,6.3,3.3,3.4,33.3,27.3,52.4,45.5,88.8,89,30.4,39.5,53,48
"3902",13754,3846,1870,1976,13.9,14.2,4.8,3.7,9.8,7.7,32.4,34.8,78.7,75.4,45.9,39.9,49,52
"3903",13755,1342,682,660,17.9,13.3,7.3,6.5,3.4,3.3,24.8,39.4,64.5,76.2,41.9,42.3,51,50
"3904",13756,493,212,281,13.2,17.8,0,8.2,7.5,1.8,14.2,26.7,86.8,69.4,55.4,48.6,44,57
"3905",13757,1109,584,525,10.8,9.5,1.9,4.4,12.5,4.6,28.6,33.7,82.2,80,48.8,46.4,53,48
"3906",13760,44363,21165,23198,13.9,11,3.1,4.7,7.4,6.6,36.3,33.7,77.5,79.5,40,45.3,48,53
"3907",13774,327,180,147,11.7,15,12.8,5.4,36.7,27.9,61.7,57.8,75.6,70.7,19.9,18.7,56,45
"3908",13775,1877,842,1035,11.8,26.2,8.7,4,6.9,5.6,40.1,33.6,77.6,67.2,43.2,38.6,45,56
"3909",13776,522,206,316,6.3,16.8,8.3,6,3.9,3.5,33,32,80.6,75.3,46,44.7,40,61
"3910",13777,627,312,315,7.1,12.4,2.2,0.6,12.8,12.1,28.2,39,88.1,82.5,48.8,43.6,50,51
"3911",13778,6030,3032,2998,9,10.3,4.2,4.5,12,11.1,34.9,35.2,83.4,81.9,46.9,46.5,51,50
"3912",13780,999,514,485,16,5.4,3.1,6,1.6,3.1,40.3,26.4,79.4,80.6,42.3,50.1,52,49
"3913",13782,625,312,313,9.9,8.6,5.8,5.8,5.8,1.6,37.2,21.4,82.4,84.7,46.1,55.6,50,51
"3914",13783,2060,1063,997,10,6.9,4.9,3.4,7.7,10.5,28.3,31.9,81.2,85.8,50.4,49.7,52,49
"3915",13784,115,58,57,0,0,0,7,12.1,21.1,25.9,38.6,87.9,93,49.3,50.6,51,50
"3916",13786,633,402,231,6.7,9.5,5.2,6.5,10.7,16.9,39.1,49.4,74.6,84,36.4,36.5,64,37
"3917",13787,3748,2045,1703,16.4,12.3,5.6,3,5.5,9,35.8,40,66.9,80.2,37.7,38.4,55,46
"3918",13788,1018,509,509,6.3,12.4,2,1.4,8.1,7.7,30.8,28.1,81.9,81.5,46.8,49.4,50,50
"3919",13790,18577,9019,9558,8.9,10.9,4.9,2.7,9.2,9.8,42.6,36.2,78.8,80.1,37.3,42.4,49,52
"3920",13794,130,66,64,0,15.6,16.7,0,0,0,33.3,15.6,83.3,84.4,56.5,56.2,51,50
"3921",13795,3664,1735,1929,12.3,6.9,0.9,4,8.8,16.3,33.5,41.9,82.3,86.3,43.8,44.5,48,53
"3922",13796,1285,622,663,15.4,11.8,3.1,3.8,9.8,2.7,32.3,25.2,73.2,77.8,39.2,49.5,49,52
"3923",13797,2029,962,1067,12.5,11.2,6.4,5.6,8.9,8.2,37.9,36.4,72.7,75.5,38,41.2,48,53
"3924",13801,1264,694,570,14.3,20.9,3,1.4,6.3,3.9,32.4,24.6,77.7,73.5,43,45.3,55,46
"3925",13802,660,324,336,29.6,11.6,0.9,0,2.8,11.9,27.8,39.9,66,71.7,32.5,28.4,50,51
"3926",13803,4128,2056,2072,16.1,13.6,4.3,5.9,5.7,9.8,41,40.2,72.9,73.2,37,35.9,50,51
"3927",13804,620,279,341,16.5,18.8,2.9,2.3,7.9,11.4,38.7,36.1,74.9,61,40.4,22.9,45,56
"3928",13806,187,105,82,0,0,0,0,9.5,26.8,27.6,26.8,100,100,53,47.6,57,44
"3929",13807,1067,509,558,9.8,12.7,2.2,1.8,8.8,7.9,30.5,31,81.7,78,46.7,43.1,48,53
"3930",13808,1502,769,733,4.6,5.3,6.9,3.5,6.8,6.4,27.6,27.6,83.9,89.8,53.2,53.7,52,49
"3931",13809,1637,799,838,18.1,9.3,7.8,11.8,1.9,8.2,45.3,48.3,73.1,69.2,36.3,35,49,52
"3932",13810,1020,511,509,6.1,10.2,2.3,0.4,8,4.7,32.1,26.1,84.3,86.6,50.4,51.4,51,50
"3933",13811,4327,2130,2197,11,12.6,6.7,4.1,8.4,9.6,29.8,32.4,73.8,78.6,45.7,45.2,50,51
"3934",13812,2333,1188,1145,13.6,10.2,4.9,2.5,5.9,11.8,35.3,38.4,75.3,82.4,40.5,40.9,51,50
"3935",13813,1051,550,501,13.5,9.6,6.7,0,8.9,14.6,29.3,20.8,73.3,80.4,49.7,51.7,53,48
"3936",13815,14053,6736,7317,14.5,12.7,4.1,3.6,7.7,6.2,36.9,33.5,74.9,78.1,39.6,43,48,53
"3937",13820,22820,10933,11887,8.2,8.1,3.8,2.1,31.6,34.6,52.7,52.6,84.2,86.9,26.8,26.8,48,53
"3938",13825,3505,1623,1882,8.6,10.4,1.3,4.7,6.3,10,33.5,34.3,86,79.1,48,44.6,47,54
"3939",13826,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3940",13827,11795,5951,5844,12.7,11.3,4,5.8,8.9,7.4,37.4,36.5,79.3,80.4,43,44.9,51,50
"3941",13830,4899,2462,2437,12.6,10.4,3.8,7.3,7.4,6.6,32,33.7,78.8,77.4,45.4,45.8,51,50
"3942",13832,510,256,254,9,16.9,7.4,5.9,3.1,5.5,28.1,33.1,80.1,75.6,50,44.6,51,50
"3943",13833,3915,1910,2005,9.5,14.1,2.6,0.6,16.2,9.8,35.8,31.6,80.8,79.4,38.5,44.3,49,52
"3944",13834,57,46,11,0,0,0,0,0,0,73.9,0,100,100,NA,NA,81,20
"3945",13835,1404,713,691,19.4,16.1,0.8,4.6,6,12.7,32.7,39.7,73.4,75.5,42.4,37.5,51,50
"3946",13838,4417,2262,2155,12.5,9,6.2,4.5,7.7,5.8,37.3,32.3,72.9,81.6,39.4,48.5,52,49
"3947",13839,1285,699,586,6,7.5,13,2,6.2,8.4,41.3,30.4,80.1,81.4,48.2,47.3,55,46
"3948",13841,639,290,349,10.3,22.9,6.6,6,13.8,9.5,47.2,35.5,82.1,69.3,43.3,41.3,46,55
"3949",13842,644,353,291,8.2,8.6,7.6,3.1,14.7,10.7,43.6,30.2,72.8,77.3,35,45.1,55,46
"3950",13843,1790,874,916,13.7,17.4,3,2.9,8.2,6.9,35.7,34.7,80.4,77,43.6,40.9,49,52
"3951",13844,885,524,361,18.5,6.6,4.6,9.1,9,2.2,33.2,30.7,66.8,80.3,35.6,47.5,60,41
"3952",13845,58,39,19,0,0,0,0,100,0,100,0,100,100,NA,NA,68,33
"3953",13846,267,142,125,0,12,10.6,0,19.7,0,58.5,30.4,89.4,88,41.2,53.4,54,47
"3954",13847,67,28,39,0,10.3,35.7,0,0,28.2,50,38.5,64.3,89.7,45.5,50.1,42,59
"3955",13849,3968,2002,1966,15.9,11.4,2.4,4.1,7.7,6.4,35,29.9,76.2,76.4,41.1,45.3,51,50
"3956",13850,21914,10045,11869,14.3,11,3,3.5,8.1,10.3,30.9,33.4,78.2,81.7,45.2,46.7,46,55
"3957",13856,6658,3246,3412,16.5,11.3,2.2,3.7,6.1,5.6,34.4,30.3,76.9,78.5,38.6,45.8,49,52
"3958",13859,275,200,75,40.5,0,3,0,0,0,31.5,9.3,30.5,53.3,5.9,42.5,73,28
"3959",13860,80,39,41,0,0,0,0,48.7,41.5,48.7,78,74.4,100,21.1,28.4,49,52
"3960",13861,349,154,195,22.1,14.4,3.9,17.9,0,4.6,56.5,64.1,66.9,61,38.5,36,45,56
"3961",13862,4336,2121,2215,14.3,14.4,4.9,3.2,6.8,11.3,37.3,38.3,74.2,76.9,42,40.8,49,52
"3962",13863,761,398,363,14.8,20.1,1,6.9,13.8,4.7,41.2,43.5,70.6,66.9,33.8,33,53,48
"3963",13864,1121,554,567,11.9,9.2,10.1,0,2,10.8,34.5,35.6,75.3,90.8,48.4,49,50,51
"3964",13865,6442,3510,2932,16.6,10.3,6.2,3.5,8.9,8.3,33.9,32.7,71.6,83.5,40.3,47.9,55,46
"3965",13901,19186,9442,9744,12.6,13.8,3.5,3.3,11.4,8.7,40,34.4,79.2,77.9,39.7,42.7,50,51
"3966",13902,6151,3090,3061,0,0,0.2,1.9,99.3,97.8,100,100,99.8,98.1,19.7,19.6,51,50
"3967",13903,18737,9223,9514,11.8,9.2,4.5,4.1,9.2,11.7,38,37.9,77.3,82.1,39.7,43.9,50,51
"3968",13904,9436,4652,4784,9.7,12.3,5.8,2.8,12.5,8.4,41.5,34.3,79,77.3,39.2,42.4,50,51
"3969",13905,27708,14422,13286,9.5,9,3.3,4,24.4,15.6,49.4,40.5,82.7,83.7,30.3,42.5,53,48
"3970",14001,9866,5119,4747,12.2,11.7,5.6,3.8,14.2,9.4,41.4,33.4,80.5,80.5,41.6,45.7,52,49
"3971",14004,12146,6631,5515,11.7,13.3,3.4,4,8.9,9.2,38.2,35,81.7,80.3,43.3,44.7,55,46
