"","Id2","M_MedianEarnings_LessThanHighSchoolGraduate","F_MedianEarnings_LessThanHighSchoolGraduate","M_MedianEarnings_HighSchoolGraduate","F_MedianEarnings_HighSchoolGraduate","M_MedianEarnings_SomeCollegeOrAssociate'sDegree","F_MedianEarnings_SomeCollegeOrAssociate'sDegree","M_MedianEarnings_Bachelor'sDegree","F_MedianEarnings_Bachelor'sDegree","M_MedianEarnings_GraduateOrProfessionalDegree","F_MedianEarnings_GraduateOrProfessionalDegree"
"158",1039,NA,NA,44803,23641,50469,25057,39286,41316,97708,49444
"159",1040,20038,12159,32276,21707,40089,27452,46641,40444,64423,59365
"160",1050,9375,NA,48229,29688,52083,27135,52750,38182,63800,56964
"161",1053,NA,16607,18555,31563,39712,18929,51625,26434,59875,56827
"162",1054,37917,16875,33958,27500,35556,31875,49038,27059,70417,48125
"163",1056,33021,22569,45957,26609,53347,36446,73385,48583,79500,55396
"164",1057,34938,6920,46429,26818,53295,32149,71204,40532,77279,64474
"165",1060,23144,9357,28438,20583,34531,34000,36853,32305,64634,55729
"166",1062,33831,NA,40897,37586,36333,40109,54313,43490,73015,54522
"167",1063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168",1066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169",1068,52000,NA,43438,16250,47083,42917,44167,37188,58750,69375
"170",1069,31719,9375,43250,18828,46318,30795,52292,41346,69779,61875
"171",1070,NA,NA,32500,16250,41250,25417,50833,21250,60625,26667
"172",1071,30833,NA,51776,22500,54531,42500,52750,51313,68472,60268
"173",1072,23750,NA,41136,21250,33542,33333,55982,31429,74375,42000
"174",1073,21603,NA,50000,30216,49139,34744,74118,50125,81979,53606
"175",1074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176",1075,40205,12788,44784,25327,50133,36229,54088,40091,70964,53036
"177",1077,30917,NA,37689,29143,64732,35500,84104,31102,109236,53250
"178",1079,NA,NA,NA,27656,48523,35714,NA,NA,NA,NA
"179",1080,NA,NA,29833,18929,41818,31607,37500,36250,NA,63750
"180",1081,NA,42639,42647,29063,50469,31875,53333,34423,39375,72188
"181",1082,24432,13419,44386,29175,48125,36290,49271,44000,63750,56979
"182",1083,37143,NA,37083,22241,40284,21801,42037,66477,NA,NA
"183",1084,NA,NA,29375,NA,44063,NA,18750,40357,88750,40000
"184",1085,26573,14207,36152,24466,53486,33382,58494,40772,72667,61207
"185",1086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186",1088,NA,NA,39375,NA,NA,NA,65556,NA,NA,NA
"187",1089,37194,13364,36978,25893,50427,35155,61744,41286,74523,56679
"188",1092,NA,NA,41713,16838,52344,48424,NA,NA,NA,NA
"189",1093,NA,NA,5000,NA,NA,41000,70000,30938,53889,52292
"190",1094,NA,NA,42237,NA,42917,NA,NA,NA,NA,NA
"191",1095,36563,16083,45588,26063,55000,35462,75313,46935,99063,63348
"192",1096,42188,NA,36078,19808,56875,35714,47321,38250,68036,55682
"193",1097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194",1098,18750,40500,40278,27083,48750,10893,56250,40357,71786,40625
"195",1103,17344,7361,36667,20813,21905,7039,49234,18571,44896,26776
"196",1104,16597,17439,30342,24444,43040,27413,43220,33576,57955,47813
