"zip"|"name"|"employment"|"annual_payroll"|"lat"|"long"|"dma_code"|"dma_name"
"109"|1360|"NORTHFIELD, MA"|722|31320|42.682244|-72.451126|543|"Springfield-Holyoke, MA"
"110"|1364|"ORANGE, MA"|1457|48344|42.590181|-72.296362|543|"Springfield-Holyoke, MA"
"111"|1366|"PETERSHAM, MA"|56|1447|42.488553|-72.191004|506|"Boston et al, MA-NH"
"112"|1367|"ROWE, MA"|130|6387|42.703358|-72.90755|543|"Springfield-Holyoke, MA"
"113"|1368|"ROYALSTON, MA"|0|618|42.673989|-72.181713|506|"Boston et al, MA-NH"
"114"|1370|"SHELBURNE FALLS, MA"|560|15816|42.601206|-72.734751|543|"Springfield-Holyoke, MA"
"115"|1373|"SOUTH DEERFIELD, MA"|2902|148175|42.476845|-72.612365|543|"Springfield-Holyoke, MA"
"116"|1375|"SUNDERLAND, MA"|532|32271|42.45413|-72.566351|543|"Springfield-Holyoke, MA"
"117"|1376|"TURNERS FALLS, MA"|1650|61670|42.597636|-72.556736|543|"Springfield-Holyoke, MA"
"118"|1378|"WARWICK, MA"|0|262|42.670115|-72.339198|543|"Springfield-Holyoke, MA"
"119"|1379|"WENDELL, MA"|19|237|42.543734|-72.403838|543|"Springfield-Holyoke, MA"
"120"|1420|"FITCHBURG, MA"|10022|340182|42.579089|-71.804062|506|"Boston et al, MA-NH"
"121"|1430|"ASHBURNHAM, MA"|677|22765|42.6512|-71.926578|506|"Boston et al, MA-NH"
"122"|1431|"ASHBY, MA"|0|5301|42.675599|-71.816347|506|"Boston et al, MA-NH"
"123"|1432|"AYER, MA"|4435|208016|42.560207|-71.573167|506|"Boston et al, MA-NH"
"124"|1434|"DEVENS, MA"|2210|167207|42.531293|-71.62061|506|"Boston et al, MA-NH"
"125"|1436|"BALDWINVILLE, MA"|0|0|42.602695|-72.072964|506|"Boston et al, MA-NH"
"126"|1440|"GARDNER, MA"|6559|230956|42.57498|-71.989317|506|"Boston et al, MA-NH"
"127"|1450|"GROTON, MA"|1743|69912|42.612136|-71.557627|506|"Boston et al, MA-NH"
"128"|1451|"HARVARD, MA"|644|38548|42.499751|-71.577718|506|"Boston et al, MA-NH"
"129"|1452|"HUBBARDSTON, MA"|315|9380|42.486849|-72.003096|506|"Boston et al, MA-NH"
"130"|1453|"LEOMINSTER, MA"|15156|535585|42.526765|-71.754345|506|"Boston et al, MA-NH"
"131"|1460|"LITTLETON, MA"|6911|646900|42.539812|-71.486552|506|"Boston et al, MA-NH"
"132"|1462|"LUNENBURG, MA"|1724|68237|42.587865|-71.722154|506|"Boston et al, MA-NH"
"133"|1463|"PEPPERELL, MA"|1232|47013|42.669647|-71.594772|506|"Boston et al, MA-NH"
"134"|1464|"SHIRLEY, MA"|1253|66826|42.558349|-71.647231|506|"Boston et al, MA-NH"
"135"|1468|"TEMPLETON, MA"|261|8667|42.551961|-72.06185|506|"Boston et al, MA-NH"
"136"|1469|"TOWNSEND, MA"|1342|44770|42.654539|-71.691559|506|"Boston et al, MA-NH"
"137"|1473|"WESTMINSTER, MA"|1445|66355|42.550339|-71.906384|506|"Boston et al, MA-NH"
"138"|1474|"WEST TOWNSEND, MA"|97|3309|42.670894|-71.742359|506|"Boston et al, MA-NH"
"139"|1475|"WINCHENDON, MA"|1151|32011|42.677326|-72.048023|506|"Boston et al, MA-NH"
"140"|1501|"AUBURN, MA"|10609|435055|42.204337|-71.838933|506|"Boston et al, MA-NH"
"141"|1503|"BERLIN, MA"|338|13277|42.382041|-71.633425|506|"Boston et al, MA-NH"
"142"|1504|"BLACKSTONE, MA"|725|24893|42.030138|-71.527457|506|"Boston et al, MA-NH"
"143"|1505|"BOYLSTON, MA"|1253|59489|42.340854|-71.725327|506|"Boston et al, MA-NH"
"144"|1506|"BROOKFIELD, MA"|261|6008|42.194803|-72.103186|506|"Boston et al, MA-NH"
"145"|1507|"CHARLTON, MA"|2656|110954|42.138594|-71.96424|506|"Boston et al, MA-NH"
"146"|1510|"CLINTON, MA"|3567|153713|42.418494|-71.681378|506|"Boston et al, MA-NH"
"147"|1515|"EAST BROOKFIELD, MA"|0|0|42.217237|-72.048129|506|"Boston et al, MA-NH"
"148"|1516|"DOUGLAS, MA"|684|27465|42.057613|-71.728207|506|"Boston et al, MA-NH"
"149"|1518|"FISKDALE, MA"|470|17794|42.123241|-72.115482|506|"Boston et al, MA-NH"
"150"|1519|"GRAFTON, MA"|0|0|42.199825|-71.68801|506|"Boston et al, MA-NH"
"151"|1520|"HOLDEN, MA"|2757|106501|42.340291|-71.842485|506|"Boston et al, MA-NH"
"152"|1521|"HOLLAND, MA"|75|2215|42.057886|-72.15981|543|"Springfield-Holyoke, MA"
"153"|1522|"JEFFERSON, MA"|92|3164|42.377296|-71.867259|506|"Boston et al, MA-NH"
"154"|1523|"LANCASTER, MA"|1869|79592|42.469062|-71.681927|506|"Boston et al, MA-NH"
"155"|1524|"LEICESTER, MA"|1312|33208|42.240062|-71.917244|506|"Boston et al, MA-NH"
"156"|1527|"MILLBURY, MA"|4558|155171|42.197929|-71.763698|506|"Boston et al, MA-NH"
"157"|1529|"MILLVILLE, MA"|88|2435|42.033865|-71.579087|506|"Boston et al, MA-NH"
"158"|1531|"NEW BRAINTREE, MA"|0|1005|42.316852|-72.147601|506|"Boston et al, MA-NH"
"159"|1532|"NORTHBOROUGH, MA"|7712|330475|42.320096|-71.645053|506|"Boston et al, MA-NH"
"160"|1534|"NORTHBRIDGE, MA"|765|26209|42.148145|-71.653185|506|"Boston et al, MA-NH"
"161"|1535|"NORTH BROOKFIELD, MA"|760|28683|42.267192|-72.081628|506|"Boston et al, MA-NH"
