"","WhiteAlone","BlackOrAfricanAmericanAlone","AmericanIndianAndAlaskaNativeAlone","AsianAlone","NativeHawaiianAndOtherPacificIslanderAlone","SomeOtherRaceAlone","TwoOrMoreRaces","Id2"
"254",98.29,0,0,0,0,0,1.71,1350
"255",87.79,2.35,0,2.49,0,0,7.37,1351
"256",95.17,0,0,0,0,3.39,1.44,1354
"257",97.88,1.92,0,0,0,0,0.2,1355
"258",97.2,0.07,0,1.48,0,0.3,0.96,1360
"259",96.51,0.69,0.29,1.68,0,0.13,0.7,1364
"260",96.68,0.31,0,1.93,0,0,1.08,1366
"261",95.76,0.51,0,0.17,0,0.51,3.05,1367
"262",97.42,0,1.03,1.12,0,0,0.43,1368
"263",96.91,0.46,0,0.32,0,0.22,2.09,1370
"264",96.87,0.59,0.38,0.95,0,0.07,1.15,1373
"265",90.25,1,0.49,5.74,0,1.87,0.65,1375
"266",94.27,0.85,1.09,0.42,0,1.6,1.78,1376
"267",96.4,0,0,3.13,0,0,0.47,1378
"268",90.6,5.64,0.73,1.25,0,0,1.78,1379
"269",78.8,4.22,0.14,4.23,0,9.82,2.79,1420
"270",95.31,0.98,0,0,0,1.26,2.45,1430
"271",98.59,0.51,0,0.77,0,0,0.13,1431
"272",90.67,3.13,0.06,2.08,0,0.34,3.72,1432
"273",72.39,16.69,1.53,0.76,0,2.35,6.29,1434
"274",98.93,0.18,0,0,0,0.18,0.7,1436
"275",100,0,0,0,0,0,0,1438
"276",90.45,1.92,0.5,1.67,0,3.24,2.23,1440
"277",95.28,1.07,0.19,2.44,0,0.02,1,1450
"278",90.11,3.14,0.36,3.97,0,0.81,1.61,1451
"279",98.41,0,0,0.7,0,0,0.89,1452
"280",81.82,5.49,0.48,2.8,0,6.04,3.37,1453
"281",93.21,0.32,0.09,4.74,0,0.2,1.45,1460
"282",94.51,1.19,0,1.78,0,0.73,1.78,1462
"283",96.88,0.47,0,1.37,0,0.05,1.22,1463
"284",75.36,8.14,0.12,1.6,0,9.21,5.57,1464
"285",99.75,0,0,0.25,0,0,0,1467
"286",98.06,0,0,1.24,0,0,0.7,1468
"287",97.4,0,0.37,1.69,0,0.13,0.41,1469
"288",97.23,0.64,0.31,0.27,0,0.2,1.34,1473
"289",96.24,0,0,3.41,0,0,0.35,1474
"290",91.93,0.96,0.17,3.03,0,0.85,3.05,1475
"291",97.04,1.35,0.04,0.47,0,0.52,0.59,1501
"292",95.67,0.97,0,1.66,0.42,1.14,0.14,1503
"293",93.39,1,0,0.97,0,1.56,3.08,1504
"294",91.87,0.89,0,3.73,0,1.21,2.29,1505
"295",98.17,0,0.15,0.41,0,0,1.27,1506
"296",96.96,0.59,0,0.48,0,1.07,0.89,1507
"297",87.27,2.15,0.58,1.7,0,4.94,3.36,1510
"298",94.9,0.98,1.24,0.31,0,0.44,2.13,1515
"299",98.48,0.45,0,0.21,0,0,0.85,1516
"300",95.5,0.15,0,0,0,0,4.35,1518
"301",95.01,0.49,0,2.92,0,0,1.58,1519
"302",94.7,0.47,0.06,4.02,0.13,0.34,0.28,1520
"303",96.56,1.88,0,0.25,0,0,1.31,1521
"304",96.6,1.78,0.73,0,0,0,0.89,1522
"305",86.77,6.25,0.56,0.59,0,3.75,2.08,1523
"306",96.83,0.76,0,2.23,0,0,0.17,1524
"307",100,0,0,0,0,0,0,1525
"308",95.78,1.3,0,0.92,0,0.61,1.39,1527
"309",94.4,1.78,0,0.66,0,0.63,2.53,1529
"310",98.86,0.76,0,0.19,0,0.19,0,1531
"311",86.32,1.69,0,8.73,0,0.95,2.31,1532
"312",97.66,0.7,0,1.13,0,0.02,0.49,1534
"313",94.86,1.42,0,0.3,0,0.28,3.14,1535
"314",86.08,1.66,0,6.05,0.21,0.67,5.33,1536
"315",90.89,0,0,1.59,0,0.73,6.79,1537
"316",96.31,0.52,0.37,0.13,0,0.13,2.55,1540
"317",93.81,0.41,0,1.84,0,3.1,0.85,1541
"318",94.56,0.73,1.23,0.95,0,1.4,1.12,1542
"319",95.01,1.6,0,2.22,0,0.41,0.77,1543
"320",78.06,2.2,0.07,15.87,0,1.18,2.62,1545
"321",78.5,1.84,0.04,3.06,0,12.82,3.75,1550
"322",71.07,3.07,0,23.11,0,0.51,2.25,1560
"323",65.52,23.56,0,5.17,0,0,5.75,1561
"324",94.6,0.71,0.6,0.33,0,1.74,2.03,1562
"325",96.61,1.05,0.18,1.35,0,0.32,0.5,1564
"326",97.42,0.38,0.27,1.63,0,0.3,0,1566
"327",94.62,0.2,0,0.98,0.5,0.01,3.69,1568
"328",97.59,0.36,0,1.01,0,0.4,0.64,1569
"329",88.38,3.61,0,2.05,0,2.46,3.5,1570
"330",93.5,2.4,0.15,0.62,0.17,0.08,3.08,1571
"331",74.14,2.39,0.21,18.12,0,1.56,3.58,1581
"332",91.01,5.08,0.12,0.47,0,2.12,1.21,1583
"333",94.08,2.5,0,2.45,0,0,0.97,1585
"334",94.85,0.28,0,0.79,0,1.39,2.69,1588
"335",98.98,0.02,0,1,0,0,0,1590
"336",79.37,11.17,0.05,4.92,0,1.81,2.67,1602
"337",76.55,8.52,0.44,9.48,0.13,2.83,2.05,1603
"338",75.8,11.71,0.2,7.41,0.11,2.57,2.2,1604
"339",65.54,15.43,0.23,5.59,0,5.61,7.6,1605
"340",80.52,14.21,0.05,2.92,0,0.86,1.45,1606
"341",72.52,15.22,0.94,4.88,0,3.95,2.49,1607
"342",57.73,15.15,0.9,1.43,0,2.53,22.26,1608
"343",77.35,10.76,0.4,5.26,0.22,1.97,4.04,1609
"344",66.61,12.68,0.05,7.62,0,9.24,3.78,1610
"345",91.46,3.06,0.44,2.38,0,1.57,1.09,1611
"346",87.34,3.73,0,0.56,0,6.14,2.24,1612
"347",82.77,6.45,0.28,6.15,0,2.76,1.59,1701
"348",65.77,10.4,0.08,8.22,0,10.6,4.93,1702
"349",64.14,20.99,0,14.87,0,0,0,1718
"350",81.79,0.44,0,16.82,0,0.26,0.69,1719
"351",76.95,0.96,0.22,19.47,0,0.12,2.27,1720
"352",88.14,2.75,0,6.45,0,1.52,1.13,1721
"353",83.49,1.74,0,11.67,0,1.11,1.99,1730
"354",80.43,11.76,0,2.91,0,0.23,4.66,1731
"355",94.22,0.2,0,3.32,0,0.36,1.89,1740
"356",88.74,1.26,0,6.45,0,0.18,3.38,1741
"357",88.34,3.11,0.07,5.08,0,1.35,2.05,1742
"358",77.38,0,0,22.62,0,0,0,1745
"359",94.91,0.91,0,1.8,0.75,0.31,1.32,1746
"360",95.01,0.15,0,1.59,0,3.26,0,1747
"361",92.82,0.23,0.07,4.75,0,0.46,1.68,1748
"362",91.66,0.74,0.09,2.16,0,0.63,4.7,1749
"363",79.99,2.12,0.08,5.32,0,2.66,9.84,1752
"364",88.29,2.79,0,4.13,0,1.19,3.59,1754
"365",97.42,0.55,0.38,0.91,0,0.21,0.55,1756
"366",86.98,2.32,0.3,2.5,0.03,5.44,2.42,1757
"367",87.97,1.7,0.17,7.54,0,1.15,1.47,1760
"368",92.25,0,0,6.07,0,0.24,1.44,1770
"369",83.1,1.65,0,12.76,0,0.77,1.73,1772
"370",86.23,2.65,0,7.63,0,1.43,2.07,1773
"371",93.17,0.34,0.19,2.91,0,0,3.38,1775
"372",90.57,0.04,0.06,6.63,0,0.21,2.49,1776
"373",85.31,1.03,0.03,12.19,0,0.14,1.3,1778
"374",86.3,4,0.02,6.2,0,1.84,1.64,1801
"375",79.52,3.17,0,15.61,0.06,0.04,1.59,1803
"376",84.69,1.13,0.04,10.94,0.12,1.11,1.98,1810
"377",92.28,1.3,0,4.88,0,0.6,0.94,1821
"378",89.47,0.54,0,8.2,0,0.86,0.93,1824
"379",90.49,2.89,0.06,3.68,0,1.71,1.17,1826
"380",94.35,0,0,2.43,0,0.34,2.89,1827
"381",82.97,1.76,0.39,0.41,0,12.69,1.77,1830
"382",83.26,2.69,0.34,1.18,0,9.89,2.64,1832
"383",96.83,0.25,0.07,0.4,0.07,0.13,2.24,1833
"384",97.32,0.12,0,2.56,0,0,0,1834
"385",87.81,4.52,0.19,2.56,0,3.64,1.27,1835
"386",37.59,6.03,1.14,0.88,0,50.54,3.83,1840
"387",33.69,6.48,0.29,1.64,0,53.98,3.93,1841
"388",42.83,8.25,0.09,6.82,0,39.1,2.91,1843
"389",79.63,3.3,0.14,4.08,0,11.52,1.33,1844
"390",87.65,1.49,0.25,6.36,0,3.04,1.2,1845
"391",70.28,6.75,0,5.7,0.12,11.84,5.3,1850
"392",43.6,8.8,0.44,37.3,0.18,7.77,1.9,1851
"393",64.12,6.77,0.25,12.43,0.18,12.34,3.91,1852
"394",59.53,4.86,0.31,17.93,0.02,13.96,3.38,1854
"395",99.46,0.3,0,0,0,0,0.25,1860
"396",87.84,2.89,0.13,4.39,0,2.31,2.45,1862
"397",84.99,0.64,0,7.94,0,5.94,0.49,1863
"398",93.63,0.68,0,3.89,0,0.19,1.61,1864
"399",93.31,1,0,3.95,0,0.57,1.17,1867
"400",93.14,1.85,0.2,3.12,0,0.22,1.47,1876
"401",92.82,0.57,0,4.95,0,0.21,1.45,1879
"402",94.52,0.44,0.06,3.81,0,0.38,0.78,1880
"403",82.83,0.71,0.06,13.36,0.12,0.9,2.03,1886
"404",92.19,1.09,0,4.3,0,0.15,2.26,1887
"405",84.9,0.93,0.03,11.63,0.12,0.38,2.02,1890
"406",44.78,20.32,0.64,2.42,0,15.67,16.16,1901
"407",52.58,14.11,0.17,8.75,0.15,17.4,6.84,1902
"408",81.21,7.51,0,2.74,0,5.73,2.82,1904
"409",51.93,14.46,0.23,7.13,0.11,21.73,4.41,1905
"410",93.86,1.44,0,2.1,0,1.21,1.39,1906
"411",95.25,0.85,0.13,1.77,0,0.09,1.9,1907
"412",94.93,2.01,0,0.58,0,2.48,0,1908
"413",96.63,0.21,0,1.02,0,0.61,1.52,1913
"414",93.98,1.79,0.09,2,0.04,0.48,1.61,1915
"415",95.06,0,0,3.48,0,0.39,1.07,1921
"416",98.35,0.66,0,0.99,0,0,0,1922
"417",94.68,1.18,0.07,2.52,0,0.95,0.6,1923
"418",96.22,0.25,0,1.38,0,0.54,1.61,1929
"419",96.29,0.72,0.1,0.55,0,0.96,1.38,1930
"420",91.01,0,0,0,0,8.99,0,1937
"421",97.73,0.42,0.13,0.65,0,0.17,0.89,1938
"422",94.15,0.55,0,3.83,0,0.86,0.6,1940
"423",97.34,0,0,0,0,0.96,1.7,1944
"424",97.14,0.91,0.25,0.6,0,0.15,0.96,1945
"425",84.23,3.81,0.12,5.3,0.02,5.06,1.46,1949
"426",96.62,0.73,0.07,0.89,0,0.79,0.89,1950
"427",97.55,1.11,0,0,0,0.27,1.08,1951
"428",96.45,0.56,0,1.68,0,0.3,1.01,1952
"429",88.95,2.35,0.02,2.73,0,4.91,1.05,1960
"430",96.43,1.68,0.16,0.57,0.14,0.54,0.48,1966
"431",98.14,1.42,0,0.44,0,0,0,1969
"432",83.1,6.06,0.26,2.05,0,5.14,3.39,1970
"433",91.49,3.34,0,3.03,0.14,0.36,1.64,1982
"434",93.9,0,0.4,4.27,0.1,0.08,1.26,1983
"435",94.68,1.91,0,1.83,0,0.3,1.27,1984
"436",99.95,0.05,0,0,0,0,0,1985
"437",92.33,1.93,0.1,3.66,0,0.91,1.06,2019
"438",87.54,5.6,0,4.1,0,0.57,2.19,2021
"439",98.36,0.2,0,0,0,0.18,1.26,2025
"440",87.06,5.6,0.03,3.22,0,2.35,1.74,2026
"441",88.94,1.32,0.16,7.38,0,0.39,1.81,2030
"442",89.75,0,0,9.78,0,0.46,0,2032
"443",93.45,1.88,0.04,3.84,0,0.38,0.41,2035
"444",93.52,0.92,0.1,4.22,0,0.28,0.96,2038
"445",96.32,0.43,0.07,1.7,0,0.39,1.1,2043
"446",94.17,0.84,1.1,1.06,0,1.3,1.54,2045
"447",100,0,0,0,0,0,0,2047
"448",90.79,2.21,0.04,4.19,0,0.82,1.95,2048
"449",96.72,0.22,0,0.96,0,0.7,1.4,2050
"450",91.36,0.22,0.16,2.9,0,3.47,1.89,2052
"451",92.71,0.44,0,4.32,0,0.12,2.41,2053
"452",95.33,0.06,0,3.21,0,0.4,0.99,2054
"453",88.54,6.24,0.14,0.89,0,3,1.2,2056
"454",97.39,0.1,0,1.12,0,0,1.39,2061
"455",83.69,4.09,0.02,5.84,0.02,5.26,1.07,2062
"456",96.26,0.36,0.32,0.61,0,0.82,1.64,2066
"457",77.06,5.28,0.09,15.01,0,0.31,2.25,2067
"458",83.22,7.85,0.34,0.4,0,6.78,1.41,2071
"459",82.11,12.61,0.06,2.16,0,1.34,1.72,2072
"460",94.25,1.65,0,2.46,0,0.08,1.56,2081
"461",91.82,0.39,0,6.2,0,0,1.59,2090
"462",98.52,0.33,0,0.36,0,0,0.8,2093
